produceCode,collectionPointCode,quantity,ratePerUnit,grossAmount,qualityGrade,moisturePercent,hourOfDay,dayOfWeek,qtyDiffFromAvg,rateDiffFromMedian,priorAttentionCount,priorDeliveriesCount,hasNotes,neededAttention
GNT,CPN,148.67,67.53,10039.69,A,,13,6,40.94,-0.47,3,17,0,0
PDY,CPW,309.72,20.15,6240.86,B,20.5,17,5,-46.2,-0.1,1,15,0,1
TOM,CPE,26.2,13.4,351.08,B,,19,0,4.62,-0.1,0,8,0,1
PDY,CPN,163.47,17.8,2909.77,C,11.9,7,3,-34.87,-0.2,4,24,0,0
TOM,CPE,1.57,14.04,22.04,B,,11,1,0.15,0.54,4,15,1,0
MZE,CPE,137.87,17.35,2392.04,C,20.4,10,4,-2.67,0.55,0,11,0,1
MZE,CPW,248.96,16.91,4209.91,C,18.4,18,1,-24.9,0.11,2,24,0,1
PDY,CPW,163.81,20.29,3323.7,B,12.8,9,3,-41.54,0.04,2,5,0,0
CTN,CPW,390.87,63.61,24863.24,B,,15,6,-76.92,-1.19,1,10,0,0
PDY,CPN,35.68,17.19,613.34,C,21.7,18,6,1.68,-0.81,1,11,0,1
GNT,CPE,301.13,60.28,18152.12,B,,13,4,14.61,-0.92,0,11,0,0
PLS,CPE,254.96,74.59,19017.47,B,,18,2,74.04,-1.91,0,14,1,1
GNT,CPN,189.46,70.39,13336.09,A,,17,6,-14.04,2.39,6,26,0,0
GNT,CPN,346.97,55.36,19208.26,C,,20,6,-24.28,0.96,1,16,0,1
PLS,CPE,210.42,87.95,18506.44,A,,18,6,25.02,2.95,1,8,0,0
BNN,CPW,287.11,21.65,6215.93,B,,7,5,69.04,-0.85,3,12,0,0
MLK,CPE,41.76,33.97,1418.59,A,,14,6,-3.58,-1.03,4,8,0,0
TOM,CPW,5.56,15.55,86.46,A,,7,2,0.35,0.55,2,8,0,0
MLK,CPW,7.12,34.54,245.92,A,,21,1,-0.36,-0.46,1,15,0,0
PLS,CPN,36.51,75.49,2756.14,B,,13,2,-0.79,-1.01,3,22,0,0
PLS,CPW,435.68,78.01,33987.4,B,,11,1,77.38,1.51,3,11,0,0
MLK,CPN,9.7,35.01,339.6,A,,10,4,-1.25,0.01,3,19,1,1
BNN,CPN,372.83,21.39,7974.83,B,,21,1,69.62,-1.11,0,9,0,0
MZE,CPN,356.91,15.98,5703.42,C,20.7,6,5,-82.97,-0.82,1,10,1,1
MLK,CPW,2.78,28.13,78.2,C,,14,3,0.05,0.13,3,11,0,0
BNN,CPE,411.13,23.77,9772.56,A,,7,2,59.79,-1.23,0,3,0,0
PDY,CPE,392.89,18.82,7394.19,C,13.3,12,3,111.04,0.82,2,5,0,1
TOM,CPE,7.87,11.81,92.94,C,,17,3,-0.34,-0.19,3,6,1,0
TOM,CPW,11.13,11.85,131.89,C,,7,3,-3.12,-0.15,2,4,0,0
MZE,CPW,134.71,18.18,2449.03,B,13.2,12,3,-1.14,-0.72,1,5,0,0
TOM,CPW,3.21,15.27,49.02,A,,20,2,0.08,0.27,2,5,0,1
GNT,CPN,49.64,54.31,2695.95,C,,6,6,6.82,-0.09,3,17,0,0
PDY,CPN,177.67,22.25,3953.16,A,23.7,16,2,52.25,-0.25,2,9,0,1
MZE,CPN,211.0,18.21,3842.31,B,22.1,17,1,-3.99,-0.69,1,7,0,1
CTN,CPE,224.01,56.64,12687.93,C,,16,5,1.08,-0.96,1,12,0,0
PLS,CPE,130.99,76.22,9984.06,B,,12,6,-6.08,-0.28,3,11,0,0
MLK,CPE,28.04,26.84,752.59,C,,10,5,0.19,-1.16,0,3,0,0
PLS,CPN,299.31,88.13,26378.19,A,,18,3,43.55,3.13,0,5,0,0
CTN,CPE,373.09,60.3,22497.33,C,,21,1,-64.72,2.7,1,8,0,1
CTN,CPW,331.89,59.54,19760.73,C,,20,5,-82.01,1.94,4,9,0,1
MZE,CPW,47.62,19.08,908.59,B,21.6,14,1,4.62,0.18,4,14,1,1
GNT,CPE,304.76,69.46,21168.63,A,,17,1,-58.74,1.46,1,6,0,0
CTN,CPE,171.33,57.29,9815.5,C,,12,5,32.05,-0.31,0,10,0,0
MLK,CPE,2.26,33.42,75.53,A,,11,6,0.51,-1.58,1,8,0,0
BNN,CPN,53.29,25.03,1333.85,A,,14,5,13.72,0.03,4,18,0,0
CTN,CPE,428.63,56.45,24196.16,C,,6,0,-122.44,-1.15,2,7,0,1
MZE,CPE,120.14,16.22,1948.67,C,19.6,16,0,-34.9,-0.58,1,9,0,1
GNT,CPW,378.2,54.17,20487.09,C,,17,6,37.29,-0.23,2,8,0,0
MZE,CPE,80.79,20.22,1633.57,A,19.0,9,4,-1.81,-0.78,3,16,0,1
MLK,CPN,3.63,27.08,98.3,C,,6,3,-1.05,-0.92,2,13,1,1
TOM,CPW,3.02,12.43,37.54,C,,7,3,-0.47,0.43,1,11,1,1
BNN,CPW,288.37,24.94,7191.95,A,,7,0,-71.39,-0.06,2,10,0,1
PDY,CPW,134.02,22.87,3065.04,A,23.5,10,3,23.82,0.37,2,6,0,1
GNT,CPW,290.76,53.94,15683.59,C,,18,6,-6.07,-0.46,1,11,1,0
BNN,CPW,187.83,20.78,3903.11,C,,17,0,-16.2,0.78,0,6,0,0
MZE,CPN,157.61,21.01,3311.39,A,12.3,14,2,46.58,0.01,3,21,0,0
MZE,CPE,135.75,17.61,2390.56,C,15.4,21,3,-16.38,0.81,0,6,0,0
BNN,CPN,226.48,24.96,5652.94,A,,11,1,34.54,-0.04,3,22,1,0
MLK,CPN,13.74,30.33,416.73,B,,12,1,3.89,-1.17,1,8,1,1
MZE,CPN,435.31,18.29,7961.82,B,19.1,16,0,-127.46,-0.61,1,9,0,1
MLK,CPW,30.03,31.93,958.86,B,,20,3,-3.65,0.43,1,22,0,1
GNT,CPW,374.94,52.48,19676.85,C,,8,1,-60.68,-1.92,2,15,0,0
GNT,CPN,243.7,58.37,14224.77,B,,17,4,-45.87,-2.83,2,21,0,0
MLK,CPW,7.12,36.58,260.45,A,,8,2,1.95,1.58,4,13,0,1
PDY,CPN,41.29,18.18,750.65,C,14.8,9,4,-0.9,0.18,2,6,1,0
PDY,CPN,242.9,17.23,4185.17,C,18.8,18,0,53.56,-0.77,3,14,0,1
GNT,CPE,20.27,71.15,1442.21,A,,21,5,4.85,3.15,4,19,0,1
GNT,CPN,294.86,66.2,19519.73,A,,14,1,-45.8,-1.8,2,11,0,0
PDY,CPE,224.05,22.19,4971.67,A,15.0,18,3,21.7,-0.31,5,21,0,0
PDY,CPE,332.21,23.44,7787.0,A,22.7,13,4,10.49,0.94,1,12,0,1
MZE,CPW,173.32,18.8,3258.42,B,23.5,9,0,27.29,-0.1,2,13,0,1
MLK,CPE,5.44,35.85,195.02,A,,20,4,0.02,0.85,0,6,0,1
BNN,CPN,335.95,22.1,7424.49,B,,9,1,23.51,-0.4,0,2,0,0
MLK,CPW,3.84,28.25,108.48,C,,16,4,0.93,0.25,3,12,0,0
PDY,CPN,269.3,18.07,4866.25,C,10.7,19,3,47.71,0.07,1,7,0,0
GNT,CPE,140.12,53.69,7523.04,C,,20,1,-0.65,-0.71,3,15,0,1
CTN,CPW,26.75,70.99,1898.98,A,,13,5,6.52,-1.01,2,4,1,1
BNN,CPW,299.61,19.18,5746.52,C,,18,1,62.3,-0.82,2,7,0,0
PDY,CPE,175.49,20.06,3520.33,B,21.3,12,3,11.51,-0.19,1,7,0,1
GNT,CPW,338.42,55.8,18883.84,C,,7,0,33.0,1.4,0,3,0,0
MZE,CPN,414.57,17.09,7085.0,C,23.9,21,1,-90.43,0.29,1,23,0,1
MZE,CPW,419.2,18.08,7579.14,B,17.7,7,3,76.73,-0.82,0,1,0,0
MZE,CPE,185.1,16.71,3093.02,C,12.0,6,5,53.12,-0.09,2,9,0,1
PLS,CPW,181.76,83.87,15244.21,A,,21,6,25.14,-1.13,2,10,0,0
BNN,CPE,155.26,23.96,3720.03,A,,11,2,8.51,-1.04,7,24,0,0
PDY,CPE,186.14,17.58,3272.34,C,15.9,19,6,-18.41,-0.42,4,13,0,0
CTN,CPN,199.61,55.14,11006.5,C,,11,4,-20.79,-2.46,4,12,0,0
PDY,CPW,290.65,21.95,6379.77,A,21.2,20,6,-30.95,-0.55,2,14,0,1
BNN,CPN,436.18,25.97,11327.59,A,,10,4,44.61,0.97,2,11,0,0
PDY,CPN,107.51,21.01,2258.79,B,10.8,8,5,19.02,0.76,0,9,0,0
MLK,CPW,21.93,36.04,790.36,A,,11,1,0.09,1.04,4,19,0,0
GNT,CPE,353.1,68.42,24159.1,A,,10,6,99.05,0.42,1,3,0,0
MZE,CPW,47.35,21.11,999.56,A,21.8,12,1,6.67,0.11,0,3,0,0
GNT,CPN,386.35,60.32,23304.63,B,,19,2,89.85,-0.88,5,13,0,0
MZE,CPN,139.09,20.09,2794.32,A,19.9,12,0,17.8,-0.91,1,7,0,1
MZE,CPW,42.5,21.59,917.58,A,21.8,12,2,7.35,0.59,0,4,0,1
BNN,CPE,333.8,25.59,8541.94,A,,12,5,-85.18,0.59,1,11,1,1
GNT,CPN,437.34,61.56,26922.65,B,,18,3,-14.16,0.36,1,10,0,0
